PORT,TERMINAL OPERATOR,WEEK NO,WEEK ENDING,Performance Area,Measure, Unit of Measure,Cargo Type,Planned,Actual,Comments,Input Terminal Name
,,,,Vessels,Vessels Handled,Count,Containers,,,,
,,,,Vessels,Vessels Handled,Count,RoRo,,,,
,,,,Vessels,Vessels Handled,Count,Break Bulk,,,,
,,,,Vessels,Vessels Handled,Count,Liquid Bulk,,,,
,,,,Vessels,Vessels Handled,Count,Dry Bulk: Manganese,,,,
,,,,Vessels,Vessels Handled,Count,Dry Bulk: Iron Ore,,,,
,,,,Vessels,Vessels Handled,Count,Dry Bulk: Coal,,,,
,,,,Vessels,Vessels Handled,Count,Dry Bulk: Other,,,,
,,,,Productivity,Gross Crane Hours (GCH),Crane moves/hour,Containers,,,,
,,,,Productivity,Gross Crane Hours (GCH),Units/hour,RoRo,,,,
,,,,Productivity,Gross Crane Hours (GCH),Crane moves/hour,Break Bulk,,,,
,,,,Productivity,Gross Crane Hours (GCH),Kilolitres/hour,Liquid Bulk,,,,
,,,,Productivity,Gross Crane Hours (GCH),Tons/hour,Dry Bulk: Manganese,,,,
,,,,Productivity,Gross Crane Hours (GCH),Tons/hour,Dry Bulk: Iron Ore,,,,
,,,,Productivity,Gross Crane Hours (GCH),Tons/hour,Dry Bulk: Coal,,,,
,,,,Productivity,Gross Crane Hours (GCH),Tons/hour,Dry Bulk: Other,,,,
,,,,Productivity,ShipWorking Hours (SWH),Crane moves/hour,Containers,,,,
,,,,Productivity,ShipWorking Hours (SWH),Units/hour,RoRo,,,,
,,,,Productivity,ShipWorking Hours (SWH),Crane moves/hour,Break Bulk,,,,
,,,,Productivity,ShipWorking Hours (SWH),Kilolitres/hour,Liquid Bulk,,,,
,,,,Productivity,ShipWorking Hours (SWH),Tons/hour,Dry Bulk: Manganese,,,,
,,,,Productivity,ShipWorking Hours (SWH),Tons/hour,Dry Bulk: Iron Ore,,,,
,,,,Productivity,ShipWorking Hours (SWH),Tons/hour,Dry Bulk: Coal,,,,
,,,,Productivity,ShipWorking Hours (SWH),Tons/hour,Dry Bulk: Other,,,,
,,,,Productivity,Truck Turnaround Time,Hours,Containers,,,,
,,,,Productivity,Truck Turnaround Time,Hours,RoRo,,,,
,,,,Productivity,Truck Turnaround Time,Hours,Break Bulk,,,,
,,,,Productivity,Truck Turnaround Time,Hours,Liquid Bulk,,,,
,,,,Productivity,Truck Turnaround Time,Hours,Dry Bulk: Manganese,,,,
,,,,Productivity,Truck Turnaround Time,Hours,Dry Bulk: Iron Ore,,,,
,,,,Productivity,Truck Turnaround Time,Hours,Dry Bulk: Coal,,,,
,,,,Productivity,Truck Turnaround Time,Hours,Dry Bulk: Other,,,,
,,,,Productivity,Rail Turnaround Time,Hours,Containers,,,,
,,,,Productivity,Rail Turnaround Time,Hours,RoRo,,,,
,,,,Productivity,Rail Turnaround Time,Hours,Break Bulk,,,,
,,,,Productivity,Rail Turnaround Time,Hours,Liquid Bulk,,,,
,,,,Productivity,Rail Turnaround Time,Hours,Dry Bulk: Manganese,,,,
,,,,Productivity,Rail Turnaround Time,Hours,Dry Bulk: Iron Ore,,,,
,,,,Productivity,Rail Turnaround Time,Hours,Dry Bulk: Coal,,,,
,,,,Productivity,Rail Turnaround Time,Hours,Dry Bulk: Other,,,,
,,,,Productivity,Cargo Dwell Time,Days,Containers,,,,
,,,,Productivity,Cargo Dwell Time,Days,RoRo,,,,
,,,,Productivity,Cargo Dwell Time,Days,Break Bulk,,,,
,,,,Productivity,Cargo Dwell Time,Days,Liquid Bulk,,,,
,,,,Productivity,Cargo Dwell Time,Days,Dry Bulk: Manganese,,,,
,,,,Productivity,Cargo Dwell Time,Days,Dry Bulk: Iron Ore,,,,
,,,,Productivity,Cargo Dwell Time,Days,Dry Bulk: Coal,,,,
,,,,Productivity,Cargo Dwell Time,Days,Dry Bulk: Other,,,,
